id,name,area,address,latitude,longitude,image,walking_distance,nearest_metro,popularity,crowd_level,theme,description,rating,organizer,opening_time,closing_time
58,Adi Ballygunge Sarbojanin Durga Puja,South Kolkata,"Adi Ballygunge Sarbojanin Durga Puja, Adi Ballygunge, South Kolkata, Kolkata, West Bengal, 700026, India",22.521823,88.363012,https://images.pujapath.in/pandals/adi_ballygunge_sarbojanin_durga_puja.jpg,900,Kalighat,8.5,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
59,Adi Dakshin Kalikata Barowari Samittee,South Kolkata,"Adi Dakshin Kalikata Barowari Samittee, Adi Dakshin Kalikata Barowari Samittee, South Kolkata, Kolkata, West Bengal, 700025, India",22.519045,88.344023,https://images.pujapath.in/pandals/adi_dakshin_kalikata_barowari_samittee.jpg,1100,Netaji Bhavan,8.6,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
60,Agradut Udaya Sangha Durga Puja,South Kolkata,"Agradut Udaya Sangha Durga Puja, Agradut Udaya Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",22.518312,88.344412,https://images.pujapath.in/pandals/agradut_udaya_sangha_durga_puja.jpg,300,Kalighat,7.2,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
61,Arunodaya Adhibashi Brinder Durga Puja,South Kolkata,"Arunodaya Adhibashi Brinder Durga Puja, Arunodaya Adhibashi Brinder, South Kolkata, Kolkata, West Bengal, 700026, India",22.517634,88.343734,https://images.pujapath.in/pandals/arunodaya_adhibashi_brinder_durga_puja.jpg,500,Kalighat,7.3,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
62,Babu Bagan Durga Puja,South Kolkata,"Babu Bagan Durga Puja, Babu Bagan, South Kolkata, Kolkata, West Bengal, 700026, India",22.504012,88.367023,https://images.pujapath.in/pandals/babu_bagan_durga_puja.jpg,700,Kalighat,9.2,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
63,Badamtala Ashar Sangha Durga Puja,South Kolkata,"Badamtala Ashar Sangha Durga Puja, Badamtala Ashar Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",22.520423,88.347812,https://images.pujapath.in/pandals/badamtala_ashar_sangha_durga_puja.jpg,900,Kalighat,9.3,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
64,Baghajatin B and C Block Durgotsav Committee,South Kolkata,"Baghajatin B and C Block Durgotsav Committee, Baghajatin B and C Block, South Kolkata, Kolkata, West Bengal, 700047, India",22.485012,88.369023,https://images.pujapath.in/pandals/baghajatin_b_and_c_block_durgotsav_committee.jpg,1100,Masterda Surya Sen,7.6,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
65,Baghajatin Tarun Sangha Durgotsav,South Kolkata,"Baghajatin Tarun Sangha Durgotsav, Baghajatin Tarun Sangha, South Kolkata, Kolkata, West Bengal, 700047, India",22.484334,88.369412,https://images.pujapath.in/pandals/baghajatin_tarun_sangha_durgotsav.jpg,300,Masterda Surya Sen,7.7,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
66,Baishnabghata Paschimpara Sarbojanin Durgotsab,South Kolkata,"Baishnabghata Paschimpara Sarbojanin Durgotsab, Baishnabghata Paschimpara Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.476012,88.371023,https://images.pujapath.in/pandals/baishnabghata_paschimpara_sarbojanin_durgotsab.jpg,500,Kalighat,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
67,Ballygunge Cultural Association Durga Puja,South Kolkata,"Ballygunge Cultural Association Durga Puja, Ballygunge Cultural Association, South Kolkata, Kolkata, West Bengal, 700026, India",22.519823,88.364012,https://images.pujapath.in/pandals/ballygunge_cultural_association_durga_puja.jpg,700,Kalighat,9.7,Extremely High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
68,Ballygunge Pally Sarbojanin Durgotsab Committee,South Kolkata,"Ballygunge Pally Sarbojanin Durgotsab Committee, Ballygunge Pally Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.519145,88.364434,https://images.pujapath.in/pandals/ballygunge_pally_sarbojanin_durgotsab_committee.jpg,900,Kalighat,8.0,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
69,Bansdroni Sammilita Sarbojanin Durgotsab Committee,South Kolkata,"Bansdroni Sammilita Sarbojanin Durgotsab Committee, Bansdroni Sammilita Durgotsab, South Kolkata, Kolkata, West Bengal, 700047, India",22.468012,88.361023,https://images.pujapath.in/pandals/bansdroni_sammilita_sarbojanin_durgotsab_committee.jpg,1100,Masterda Surya Sen,8.1,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
70,Bediadanga Sarbojanin Durgotsav Committee,South Kolkata,"Bediadanga Sarbojanin Durgotsav Committee, Bediadanga, South Kolkata, Kolkata, West Bengal, 700026, India",22.511012,88.381023,https://images.pujapath.in/pandals/bediadanga_sarbojanin_durgotsav_committee.jpg,300,Kalighat,8.2,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
71,Beltala Sarbojanin Durgotsab,South Kolkata,"Beltala Sarbojanin Durgotsab, Beltala Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.527012,88.347023,https://images.pujapath.in/pandals/beltala_sarbojanin_durgotsab.jpg,500,Kalighat,8.3,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
72,Bengal United Club Durga Puja,South Kolkata,"Bengal United Club Durga Puja, Bengal United, South Kolkata, Kolkata, West Bengal, 700026, India",22.526334,88.347412,https://images.pujapath.in/pandals/bengal_united_club_durga_puja.jpg,700,Kalighat,8.4,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
73,Bhawanipore Mahapuja Samity,South Kolkata,"Bhawanipore Mahapuja Samity, Bhawanipore Mahapuja Samity, South Kolkata, Kolkata, West Bengal, 700025, India",22.535012,88.348023,https://images.pujapath.in/pandals/bhawanipore_mahapuja_samity.jpg,900,Netaji Bhavan,8.5,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
74,Bhowanipore De Bari Durga Puja,South Kolkata,"Bhowanipore De Bari Durga Puja, Bhowanipore De Bari, South Kolkata, Kolkata, West Bengal, 700025, India",22.534334,88.348412,https://images.pujapath.in/pandals/bhowanipore_de_bari_durga_puja.jpg,1100,Netaji Bhavan,8.6,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
75,Bhowanipore Mitra Bari Durga Puja,South Kolkata,"Bhowanipore Mitra Bari Durga Puja, Bhowanipore Mitra Bari, South Kolkata, Kolkata, West Bengal, 700025, India",22.533645,88.347734,https://images.pujapath.in/pandals/bhowanipore_mitra_bari_durga_puja.jpg,300,Netaji Bhavan,7.2,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
76,Bhowanipur 75 Palli Durga Puja,South Kolkata,"Bhowanipur 75 Palli Durga Puja, Bhowanipur 75 Palli, South Kolkata, Kolkata, West Bengal, 700025, India",22.532012,88.347023,https://images.pujapath.in/pandals/bhowanipur_75_palli_durga_puja.jpg,500,Netaji Bhavan,7.3,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
77,Bhowanipur Muktadal Durga Puja,South Kolkata,"Bhowanipur Muktadal Durga Puja, Bhowanipur Muktadal, South Kolkata, Kolkata, West Bengal, 700025, India",22.531334,88.347412,https://images.pujapath.in/pandals/bhowanipur_muktadal_durga_puja.jpg,700,Netaji Bhavan,7.4,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
78,Bhowanipur Ritwik Club Durga Puja Committee,South Kolkata,"Bhowanipur Ritwik Club Durga Puja Committee, Bhowanipur Ritwik, South Kolkata, Kolkata, West Bengal, 700025, India",22.530645,88.346734,https://images.pujapath.in/pandals/bhowanipur_ritwik_club_durga_puja_committee.jpg,900,Netaji Bhavan,7.5,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
79,Bhowanipur Sarbojanin Durgotsav,South Kolkata,"Bhowanipur Sarbojanin Durgotsav, Bhowanipur, South Kolkata, Kolkata, West Bengal, 700025, India",22.529012,88.346023,https://images.pujapath.in/pandals/bhowanipur_sarbojanin_durgotsav.jpg,1100,Netaji Bhavan,7.6,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
80,Bhowanipur Students Club Sarbojanin Durga Puja,South Kolkata,"Bhowanipur Students Club Sarbojanin Durga Puja, Bhowanipur Students, South Kolkata, Kolkata, West Bengal, 700025, India",22.528334,88.346412,https://images.pujapath.in/pandals/bhowanipur_students_club_sarbojanin_durga_puja.jpg,300,Netaji Bhavan,7.7,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
81,Bhowanipur Swadhin Sangha Durga Puja,South Kolkata,"Bhowanipur Swadhin Sangha Durga Puja, Bhowanipur Swadhin Sangha, South Kolkata, Kolkata, West Bengal, 700025, India",22.527645,88.345734,https://images.pujapath.in/pandals/bhowanipur_swadhin_sangha_durga_puja.jpg,500,Netaji Bhavan,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
82,Bhowanipur Udayan Club Durga Puja,South Kolkata,"Bhowanipur Udayan Club Durga Puja, Bhowanipur Udayan, South Kolkata, Kolkata, West Bengal, 700025, India",22.526012,88.345023,https://images.pujapath.in/pandals/bhowanipur_udayan_club_durga_puja.jpg,700,Netaji Bhavan,7.9,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
83,Chetla Agrani Club Durga Puja,South Kolkata,"Chetla Agrani Club Durga Puja, Chetla Agrani, South Kolkata, Kolkata, West Bengal, 700026, India",22.522234,88.339212,https://images.pujapath.in/pandals/chetla_agrani_club_durga_puja.jpg,900,Kalighat,9.3,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
84,Chetla Sarbasadharaner Durgotsab,South Kolkata,"Chetla Sarbasadharaner Durgotsab, Chetla Sarbasadharaner Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.521512,88.339634,https://images.pujapath.in/pandals/chetla_sarbasadharaner_durgotsab.jpg,1100,Kalighat,8.1,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
85,Dakshin Kolkata Sarbojanin Durgotsab,South Kolkata,"Dakshin Kolkata Sarbojanin Durgotsab, Dakshin Kolkata Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.518012,88.349023,https://images.pujapath.in/pandals/dakshin_kolkata_sarbojanin_durgotsab.jpg,300,Kalighat,8.2,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
86,Deshapriya Park Durga Puja,South Kolkata,"Deshapriya Park Durga Puja, Deshapriya Park, South Kolkata, Kolkata, West Bengal, 700026, India",22.518123,88.354612,https://images.pujapath.in/pandals/deshapriya_park_durga_puja.jpg,500,Kalighat,9.6,Extremely High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
87,Dhakuria Pragati Sangha Durga Puja,South Kolkata,"Dhakuria Pragati Sangha Durga Puja, Dhakuria Pragati Sangha, South Kolkata, Kolkata, West Bengal, 700029, India",22.506012,88.368023,https://images.pujapath.in/pandals/dhakuria_pragati_sangha_durga_puja.jpg,700,Rabindra Sarobar,8.4,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
88,Dhakuria Sarbojanin Durgotsab,South Kolkata,"Dhakuria Sarbojanin Durgotsab, Dhakuria Durgotsab, South Kolkata, Kolkata, West Bengal, 700029, India",22.505334,88.368412,https://images.pujapath.in/pandals/dhakuria_sarbojanin_durgotsab.jpg,900,Rabindra Sarobar,8.5,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
89,Ekdalia Evergreen Club Durga Puja,South Kolkata,"Ekdalia Evergreen Club Durga Puja, Ekdalia Evergreen, South Kolkata, Kolkata, West Bengal, 700026, India",22.518612,88.366934,https://images.pujapath.in/pandals/ekdalia_evergreen_club_durga_puja.jpg,1100,Kalighat,9.9,Extremely High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
90,Falguni Sangha Durga Puja,South Kolkata,"Falguni Sangha Durga Puja, Falguni Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",22.516012,88.357023,https://images.pujapath.in/pandals/falguni_sangha_durga_puja.jpg,300,Kalighat,7.2,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
91,Garfa Sarbojanin Durgotsav,South Kolkata,"Garfa Sarbojanin Durgotsav, Garfa, South Kolkata, Kolkata, West Bengal, 700084, India",22.501012,88.375023,https://images.pujapath.in/pandals/garfa_sarbojanin_durgotsav.jpg,500,Kavi Nazrul,7.3,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
92,Golpark Sarbojanin Durgotsab Committee,South Kolkata,"Golpark Sarbojanin Durgotsab Committee, Golpark Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.514012,88.363023,https://images.pujapath.in/pandals/golpark_sarbojanin_durgotsab_committee.jpg,700,Kalighat,7.4,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
93,Gopal Nagar Kalyan Sangha Durga Puja,South Kolkata,"Gopal Nagar Kalyan Sangha Durga Puja, Gopal Nagar Kalyan Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",22.523012,88.334023,https://images.pujapath.in/pandals/gopal_nagar_kalyan_sangha_durga_puja.jpg,900,Kalighat,7.5,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
94,Harish Park Sarbojanin Durgotsab Samity,South Kolkata,"Harish Park Sarbojanin Durgotsab Samity, Harish Park Durgotsab Samity, South Kolkata, Kolkata, West Bengal, 700025, India",22.531012,88.349023,https://images.pujapath.in/pandals/harish_park_sarbojanin_durgotsab_samity.jpg,1100,Netaji Bhavan,7.6,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
95,Hindustan Pally Durga Puja Committee,South Kolkata,"Hindustan Pally Durga Puja Committee, Hindustan Pally, South Kolkata, Kolkata, West Bengal, 700026, India",22.517012,88.361023,https://images.pujapath.in/pandals/hindustan_pally_durga_puja_committee.jpg,300,Kalighat,7.7,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
96,Jubamaitry Kalighat Durga Puja,South Kolkata,"Jubamaitry Kalighat Durga Puja, Jubamaitry Kalighat, South Kolkata, Kolkata, West Bengal, 700026, India",22.521212,88.345234,https://images.pujapath.in/pandals/jubamaitry_kalighat_durga_puja.jpg,500,Kalighat,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
97,Kalighat Nepal Bhattacharjee Street Club,South Kolkata,"Kalighat Nepal Bhattacharjee Street Club, Kalighat Nepal Bhattacharjee Street, South Kolkata, Kolkata, West Bengal, 700026, India",22.520534,88.347212,https://images.pujapath.in/pandals/kalighat_nepal_bhattacharjee_street_club.jpg,700,Kalighat,7.9,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
98,Kasba R.K. Chatterjee Road Adhibasi Brinda Durga Puja,South Kolkata,"Kasba R.K. Chatterjee Road Adhibasi Brinda Durga Puja, Kasba R.K. Chatterjee Road Adhibasi Brinda, South Kolkata, Kolkata, West Bengal, 700026, India",22.513012,88.384023,https://images.pujapath.in/pandals/kasba_rk_chatterjee_road_adhibasi_brinda_durga_puja.jpg,900,Kalighat,8.0,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
99,Kasba Renaissance Club,South Kolkata,"Kasba Renaissance Club, Kasba Renaissance, South Kolkata, Kolkata, West Bengal, 700026, India",22.512334,88.384412,https://images.pujapath.in/pandals/kasba_renaissance_club.jpg,1100,Kalighat,8.1,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
100,Kasba Shakti Sangha Pallybasi Durgotsav Samity,South Kolkata,"Kasba Shakti Sangha Pallybasi Durgotsav Samity, Kasba Shakti Sangha Pallybasi Samity, South Kolkata, Kolkata, West Bengal, 700026, India",22.511645,88.383734,https://images.pujapath.in/pandals/kasba_shakti_sangha_pallybasi_durgotsav_samity.jpg,300,Kalighat,8.2,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
101,Ketopole Sammilani Durga Puja,South Kolkata,"Ketopole Sammilani Durga Puja, Ketopole Sammilani, South Kolkata, Kolkata, West Bengal, 700026, India",22.508012,88.338023,https://images.pujapath.in/pandals/ketopole_sammilani_durga_puja.jpg,500,Kalighat,8.3,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
102,Keyatala Pally Samity Durga Puja,South Kolkata,"Keyatala Pally Samity Durga Puja, Keyatala Pally Samity, South Kolkata, Kolkata, West Bengal, 700029, India",22.513012,88.360023,https://images.pujapath.in/pandals/keyatala_pally_samity_durga_puja.jpg,700,Rabindra Sarobar,8.4,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
103,Kheyali Sangha Durga Puja,South Kolkata,"Kheyali Sangha Durga Puja, Kheyali Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",22.512334,88.360412,https://images.pujapath.in/pandals/kheyali_sangha_durga_puja.jpg,900,Kalighat,8.5,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
104,Khidderpore Sarbojanin Durgotsab,South Kolkata,"Khidderpore Sarbojanin Durgotsab, Khidderpore Durgotsab, South Kolkata, Kolkata, West Bengal, 700027, India",22.538012,88.324023,https://images.pujapath.in/pandals/khidderpore_sarbojanin_durgotsab.jpg,1100,Majerhat,8.6,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
105,Khidderpur 75 Pally Sarbojanin Durgotsab Committee,South Kolkata,"Khidderpur 75 Pally Sarbojanin Durgotsab Committee, Khidderpur 75 Pally Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.537334,88.324412,https://images.pujapath.in/pandals/khidderpur_75_pally_sarbojanin_durgotsab_committee.jpg,300,Kalighat,7.2,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
106,Kidderpore Jubaghosthi Durga Puja,South Kolkata,"Kidderpore Jubaghosthi Durga Puja, Kidderpore Jubaghosthi, South Kolkata, Kolkata, West Bengal, 700027, India",22.536645,88.323734,https://images.pujapath.in/pandals/kidderpore_jubaghosthi_durga_puja.jpg,500,Majerhat,7.3,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
107,Kidderpore Pally Saradiya Durga Puja,South Kolkata,"Kidderpore Pally Saradiya Durga Puja, Kidderpore Pally Saradiya, South Kolkata, Kolkata, West Bengal, 700027, India",22.535012,88.323023,https://images.pujapath.in/pandals/kidderpore_pally_saradiya_durga_puja.jpg,700,Majerhat,7.4,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
108,Lake Gardens Peoples Association Durga Puja,South Kolkata,"Lake Gardens Peoples Association Durga Puja, Lake Gardens Peoples Association, South Kolkata, Kolkata, West Bengal, 700029, India",22.507012,88.358023,https://images.pujapath.in/pandals/lake_gardens_peoples_association_durga_puja.jpg,900,Rabindra Sarobar,7.5,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
109,Lake Youth Corner Durga Puja,South Kolkata,"Lake Youth Corner Durga Puja, Lake Youth Corner, South Kolkata, Kolkata, West Bengal, 700029, India",22.506334,88.358412,https://images.pujapath.in/pandals/lake_youth_corner_durga_puja.jpg,1100,Rabindra Sarobar,7.6,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
110,Mahamayatala Sarbojanin Durgotsab,South Kolkata,"Mahamayatala Sarbojanin Durgotsab, Mahamayatala Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.454012,88.381023,https://images.pujapath.in/pandals/mahamayatala_sarbojanin_durgotsab.jpg,300,Kalighat,7.7,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
111,Megacity Residents Puja Committee,South Kolkata,"Megacity Residents Puja Committee, Megacity Residents Puja, South Kolkata, Kolkata, West Bengal, 700026, India",22.451012,88.385023,https://images.pujapath.in/pandals/megacity_residents_puja_committee.jpg,500,Kalighat,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
112,Mohila Mahal Club Durga Puja,South Kolkata,"Mohila Mahal Club Durga Puja, Mohila Mahal, South Kolkata, Kolkata, West Bengal, 700026, India",22.511012,88.355023,https://images.pujapath.in/pandals/mohila_mahal_club_durga_puja.jpg,700,Kalighat,7.9,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
113,Monohar Pukur Baisakhi Sangha,South Kolkata,"Monohar Pukur Baisakhi Sangha, Monohar Pukur Baisakhi Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",22.518012,88.357023,https://images.pujapath.in/pandals/monohar_pukur_baisakhi_sangha.jpg,900,Kalighat,8.0,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
