pandal_id,pandal_name,eatery_name,clean_name,cuisine_type,distance_m,distance_km,budget_for_two_inr,best_recommended_item,eatery_latitude,eatery_longitude
52,64 Pally Durgotsab Committee,Saptapadi (Near 64 Pally Durgotsab Committee),Saptapadi,Bengali Fusion,540,0.54,800,Kacha Lonka Mangsho & Pulao Thali,22.516517,88.349076
53,66 Pally Sarbojanin Durgotsab Committee,The Yellow Turtle (Near 66 Pally Sarbojanin Durgotsab Committee),The Yellow Turtle,Pan-Asian,550,0.55,850,Dim Sums & Hakka Noodles,22.51816,88.342343
53,66 Pally Sarbojanin Durgotsab Committee,Ganguram Sweets (Near 66 Pally Sarbojanin Durgotsab Committee),Ganguram Sweets,Sweet Corner,670,0.67,180,Mishti Doi & Kesar Radhaballavi,22.518344,88.352931
54,70 Pally Sarbojanin Durga Puja,Saptapadi (Near 70 Pally Sarbojanin Durga Puja),Saptapadi,Bengali Fusion,830,0.83,800,Kacha Lonka Mangsho & Pulao Thali,22.517977,88.353476
54,70 Pally Sarbojanin Durga Puja,Chowman (Near 70 Pally Sarbojanin Durga Puja),Chowman,Chinese,840,0.84,700,Kolkata Style Chilli Chicken & Fried Rice,22.514277,88.343573
55,95 Pally Jodhpur Park Durga Puja,Ganguram Sweets (Near 95 Pally Jodhpur Park Durga Puja),Ganguram Sweets,Sweet Corner,830,0.83,180,Mishti Doi & Kesar Radhaballavi,22.508962,88.360395
55,95 Pally Jodhpur Park Durga Puja,Roastery Coffee House (Near 95 Pally Jodhpur Park Durga Puja),Roastery Coffee House,Cafe & Continental,800,0.8,800,Cranberry Cold Brew & Mac and Cheese,22.500535,88.372407
56,Abasar Sarbojanin Durgotsab Committee,Saptapadi (Near Abasar Sarbojanin Durgotsab Committee),Saptapadi,Bengali Fusion,620,0.62,800,Kacha Lonka Mangsho & Pulao Thali,22.526283,88.339134
56,Abasar Sarbojanin Durgotsab Committee,Chowman (Near Abasar Sarbojanin Durgotsab Committee),Chowman,Chinese,800,0.8,700,Kolkata Style Chilli Chicken & Fried Rice,22.521861,88.352004
57,Abasorika Durgotsav Committee,Koshe Kosha (Near Abasorika Durgotsav Committee),Koshe Kosha,Authentic Bengali,740,0.74,700,Kosha Mangsho with Luchi,22.529755,88.341247
57,Abasorika Durgotsav Committee,Campari (Near Abasorika Durgotsav Committee),Campari,Snack & Cutlet Joint,890,0.89,250,Fish Fry with Kasundi & Mutton Roll,22.528203,88.353011
57,Abasorika Durgotsav Committee,Bar-B-Q (Near Abasorika Durgotsav Committee),Bar-B-Q,Classic Chinese,560,0.56,1200,Peking Duck & Crispy Chilli Pork,22.519271,88.344906
58,Adi Ballygunge Sarbojanin Durga Puja,Balaram Mullick & Radharaman Mullick (Near Adi Ballygunge Sarbojanin Durga Puja),Balaram Mullick & Radharaman Mullick,Iconic Mishti,660,0.66,250,Baked Rosogolla & Mango Sandesh,22.5239,88.356995
58,Adi Ballygunge Sarbojanin Durga Puja,Bijoli Grill (Near Adi Ballygunge Sarbojanin Durga Puja),Bijoli Grill,Bengali Seafood & Snacks,590,0.59,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.526935,88.364655
58,Adi Ballygunge Sarbojanin Durga Puja,Bhojohori Manna (Near Adi Ballygunge Sarbojanin Durga Puja),Bhojohori Manna,Traditional Bengali,970,0.97,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.515109,88.356941
59,Adi Dakshin Kalikata Barowari Samittee,Koshe Kosha (Near Adi Dakshin Kalikata Barowari Samittee),Koshe Kosha,Authentic Bengali,930,0.93,700,Kosha Mangsho with Luchi,22.511567,88.339883
59,Adi Dakshin Kalikata Barowari Samittee,Ganguram Sweets (Near Adi Dakshin Kalikata Barowari Samittee),Ganguram Sweets,Sweet Corner,850,0.85,180,Mishti Doi & Kesar Radhaballavi,22.513312,88.349529
60,Agradut Udaya Sangha Durga Puja,Bijoli Grill (Near Agradut Udaya Sangha Durga Puja),Bijoli Grill,Bengali Seafood & Snacks,840,0.84,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.524245,88.339311
60,Agradut Udaya Sangha Durga Puja,Arsalan (Near Agradut Udaya Sangha Durga Puja),Arsalan,Mughlai,920,0.92,750,Mutton Special Biryani & Firni,22.524569,88.338515
60,Agradut Udaya Sangha Durga Puja,Bhojohori Manna (Near Agradut Udaya Sangha Durga Puja),Bhojohori Manna,Traditional Bengali,880,0.88,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.51986,88.352806
61,Arunodaya Adhibashi Brinder Durga Puja,Kasturi Restaurant (Near Arunodaya Adhibashi Brinder Durga Puja),Kasturi Restaurant,Dhakai Bangladeshi Bengali,910,0.91,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.50971,88.346125
61,Arunodaya Adhibashi Brinder Durga Puja,Bijoli Grill (Near Arunodaya Adhibashi Brinder Durga Puja),Bijoli Grill,Bengali Seafood & Snacks,890,0.89,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.51365,88.336214
61,Arunodaya Adhibashi Brinder Durga Puja,Koshe Kosha (Near Arunodaya Adhibashi Brinder Durga Puja),Koshe Kosha,Authentic Bengali,970,0.97,700,Kosha Mangsho with Luchi,22.510393,88.33841
62,Babu Bagan Durga Puja,Chowman (Near Babu Bagan Durga Puja),Chowman,Chinese,940,0.94,700,Kolkata Style Chilli Chicken & Fried Rice,22.495997,88.37007
62,Babu Bagan Durga Puja,Ganguram Sweets (Near Babu Bagan Durga Puja),Ganguram Sweets,Sweet Corner,590,0.59,180,Mishti Doi & Kesar Radhaballavi,22.507452,88.362637
62,Babu Bagan Durga Puja,Banana Leaf (Near Babu Bagan Durga Puja),Banana Leaf,South Indian,730,0.73,350,Ghee Roast Masala Dosa & Filter Coffee,22.504086,88.359925
63,Badamtala Ashar Sangha Durga Puja,Chowman (Near Badamtala Ashar Sangha Durga Puja),Chowman,Chinese,630,0.63,700,Kolkata Style Chilli Chicken & Fried Rice,22.515127,88.350072
63,Badamtala Ashar Sangha Durga Puja,Banana Leaf (Near Badamtala Ashar Sangha Durga Puja),Banana Leaf,South Indian,850,0.85,350,Ghee Roast Masala Dosa & Filter Coffee,22.521171,88.356039
63,Badamtala Ashar Sangha Durga Puja,Bhojohori Manna (Near Badamtala Ashar Sangha Durga Puja),Bhojohori Manna,Traditional Bengali,670,0.67,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.525164,88.343755
64,Baghajatin B and C Block Durgotsav Committee,Arsalan (Near Baghajatin B and C Block Durgotsav Committee),Arsalan,Mughlai,630,0.63,750,Mutton Special Biryani & Firni,22.483047,88.363274
64,Baghajatin B and C Block Durgotsav Committee,Chowman (Near Baghajatin B and C Block Durgotsav Committee),Chowman,Chinese,840,0.84,700,Kolkata Style Chilli Chicken & Fried Rice,22.491998,88.37223
65,Baghajatin Tarun Sangha Durgotsav,Bhojohori Manna (Near Baghajatin Tarun Sangha Durgotsav),Bhojohori Manna,Traditional Bengali,550,0.55,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.486809,88.364774
65,Baghajatin Tarun Sangha Durgotsav,Koshe Kosha (Near Baghajatin Tarun Sangha Durgotsav),Koshe Kosha,Authentic Bengali,700,0.7,700,Kosha Mangsho with Luchi,22.485119,88.362659
65,Baghajatin Tarun Sangha Durgotsav,Campari (Near Baghajatin Tarun Sangha Durgotsav),Campari,Snack & Cutlet Joint,970,0.97,250,Fish Fry with Kasundi & Mutton Roll,22.492951,88.370555
66,Baishnabghata Paschimpara Sarbojanin Durgotsab,Banana Leaf (Near Baishnabghata Paschimpara Sarbojanin Durgotsab),Banana Leaf,South Indian,660,0.66,350,Ghee Roast Masala Dosa & Filter Coffee,22.471413,88.375113
66,Baishnabghata Paschimpara Sarbojanin Durgotsab,6 Ballygunge Place (Near Baishnabghata Paschimpara Sarbojanin Durgotsab),6 Ballygunge Place,Heritage Bengali,930,0.93,1100,Dab Chingri & Kosha Mangsho,22.480326,88.363262
66,Baishnabghata Paschimpara Sarbojanin Durgotsab,Bedwin (Near Baishnabghata Paschimpara Sarbojanin Durgotsab),Bedwin,Fast Food Roll Corner,770,0.77,200,Kathi Chicken Egg Roll,22.475341,88.363572
67,Ballygunge Cultural Association Durga Puja,Banana Leaf (Near Ballygunge Cultural Association Durga Puja),Banana Leaf,South Indian,650,0.65,350,Ghee Roast Masala Dosa & Filter Coffee,22.513968,88.364581
67,Ballygunge Cultural Association Durga Puja,Bijoli Grill (Near Ballygunge Cultural Association Durga Puja),Bijoli Grill,Bengali Seafood & Snacks,700,0.7,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.516734,88.35807
68,Ballygunge Pally Sarbojanin Durgotsab Committee,Bedwin (Near Ballygunge Pally Sarbojanin Durgotsab Committee),Bedwin,Fast Food Roll Corner,580,0.58,200,Kathi Chicken Egg Roll,22.515373,88.360515
68,Ballygunge Pally Sarbojanin Durgotsab Committee,Koshe Kosha (Near Ballygunge Pally Sarbojanin Durgotsab Committee),Koshe Kosha,Authentic Bengali,530,0.53,700,Kosha Mangsho with Luchi,22.515376,88.367618
68,Ballygunge Pally Sarbojanin Durgotsab Committee,Banana Leaf (Near Ballygunge Pally Sarbojanin Durgotsab Committee),Banana Leaf,South Indian,780,0.78,350,Ghee Roast Masala Dosa & Filter Coffee,22.526097,88.365719
69,Bansdroni Sammilita Sarbojanin Durgotsab Committee,Arsalan (Near Bansdroni Sammilita Sarbojanin Durgotsab Committee),Arsalan,Mughlai,540,0.54,750,Mutton Special Biryani & Firni,22.464471,88.364638
69,Bansdroni Sammilita Sarbojanin Durgotsab Committee,Koshe Kosha (Near Bansdroni Sammilita Sarbojanin Durgotsab Committee),Koshe Kosha,Authentic Bengali,620,0.62,700,Kosha Mangsho with Luchi,22.465409,88.366361
69,Bansdroni Sammilita Sarbojanin Durgotsab Committee,Balaram Mullick & Radharaman Mullick (Near Bansdroni Sammilita Sarbojanin Durgotsab Committee),Balaram Mullick & Radharaman Mullick,Iconic Mishti,870,0.87,250,Baked Rosogolla & Mango Sandesh,22.462306,88.366846
70,Bediadanga Sarbojanin Durgotsav Committee,Bar-B-Q (Near Bediadanga Sarbojanin Durgotsav Committee),Bar-B-Q,Classic Chinese,530,0.53,1200,Peking Duck & Crispy Chilli Pork,22.506365,88.37976
70,Bediadanga Sarbojanin Durgotsav Committee,Balaram Mullick & Radharaman Mullick (Near Bediadanga Sarbojanin Durgotsav Committee),Balaram Mullick & Radharaman Mullick,Iconic Mishti,980,0.98,250,Baked Rosogolla & Mango Sandesh,22.505804,88.388734
70,Bediadanga Sarbojanin Durgotsav Committee,Bijoli Grill (Near Bediadanga Sarbojanin Durgotsav Committee),Bijoli Grill,Bengali Seafood & Snacks,820,0.82,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.512458,88.373202
71,Beltala Sarbojanin Durgotsab,6 Ballygunge Place (Near Beltala Sarbojanin Durgotsab),6 Ballygunge Place,Heritage Bengali,610,0.61,1100,Dab Chingri & Kosha Mangsho,22.532484,88.347781
71,Beltala Sarbojanin Durgotsab,Bijoli Grill (Near Beltala Sarbojanin Durgotsab),Bijoli Grill,Bengali Seafood & Snacks,590,0.59,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.530756,88.351111
72,Bengal United Club Durga Puja,Campari (Near Bengal United Club Durga Puja),Campari,Snack & Cutlet Joint,840,0.84,250,Fish Fry with Kasundi & Mutton Roll,22.527139,88.339289
72,Bengal United Club Durga Puja,Koshe Kosha (Near Bengal United Club Durga Puja),Koshe Kosha,Authentic Bengali,600,0.6,700,Kosha Mangsho with Luchi,22.522094,88.343771
73,Bhawanipore Mahapuja Samity,Bedwin (Near Bhawanipore Mahapuja Samity),Bedwin,Fast Food Roll Corner,570,0.57,200,Kathi Chicken Egg Roll,22.5401,88.348914
73,Bhawanipore Mahapuja Samity,Saptapadi (Near Bhawanipore Mahapuja Samity),Saptapadi,Bengali Fusion,660,0.66,800,Kacha Lonka Mangsho & Pulao Thali,22.532381,88.342261
74,Bhowanipore De Bari Durga Puja,Roastery Coffee House (Near Bhowanipore De Bari Durga Puja),Roastery Coffee House,Cafe & Continental,790,0.79,800,Cranberry Cold Brew & Mac and Cheese,22.537798,88.341692
74,Bhowanipore De Bari Durga Puja,Campari (Near Bhowanipore De Bari Durga Puja),Campari,Snack & Cutlet Joint,630,0.63,250,Fish Fry with Kasundi & Mutton Roll,22.532478,88.342619
74,Bhowanipore De Bari Durga Puja,Kasturi Restaurant (Near Bhowanipore De Bari Durga Puja),Kasturi Restaurant,Dhakai Bangladeshi Bengali,660,0.66,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.531938,88.342533
75,Bhowanipore Mitra Bari Durga Puja,Kasturi Restaurant (Near Bhowanipore Mitra Bari Durga Puja),Kasturi Restaurant,Dhakai Bangladeshi Bengali,770,0.77,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.52997,88.341373
75,Bhowanipore Mitra Bari Durga Puja,The Yellow Turtle (Near Bhowanipore Mitra Bari Durga Puja),The Yellow Turtle,Pan-Asian,550,0.55,850,Dim Sums & Hakka Noodles,22.53066,88.343456
76,Bhowanipur 75 Palli Durga Puja,Ganguram Sweets (Near Bhowanipur 75 Palli Durga Puja),Ganguram Sweets,Sweet Corner,570,0.57,180,Mishti Doi & Kesar Radhaballavi,22.537011,88.345671
76,Bhowanipur 75 Palli Durga Puja,Banana Leaf (Near Bhowanipur 75 Palli Durga Puja),Banana Leaf,South Indian,810,0.81,350,Ghee Roast Masala Dosa & Filter Coffee,22.535489,88.340089
77,Bhowanipur Muktadal Durga Puja,Ganguram Sweets (Near Bhowanipur Muktadal Durga Puja),Ganguram Sweets,Sweet Corner,860,0.86,180,Mishti Doi & Kesar Radhaballavi,22.538929,88.345612
77,Bhowanipur Muktadal Durga Puja,Bedwin (Near Bhowanipur Muktadal Durga Puja),Bedwin,Fast Food Roll Corner,640,0.64,200,Kathi Chicken Egg Roll,22.533404,88.341599
78,Bhowanipur Ritwik Club Durga Puja Committee,Koshe Kosha (Near Bhowanipur Ritwik Club Durga Puja Committee),Koshe Kosha,Authentic Bengali,860,0.86,700,Kosha Mangsho with Luchi,22.529748,88.355042
78,Bhowanipur Ritwik Club Durga Puja Committee,Ganguram Sweets (Near Bhowanipur Ritwik Club Durga Puja Committee),Ganguram Sweets,Sweet Corner,910,0.91,180,Mishti Doi & Kesar Radhaballavi,22.534643,88.338998
78,Bhowanipur Ritwik Club Durga Puja Committee,Banana Leaf (Near Bhowanipur Ritwik Club Durga Puja Committee),Banana Leaf,South Indian,560,0.56,350,Ghee Roast Masala Dosa & Filter Coffee,22.534372,88.343047
79,Bhowanipur Sarbojanin Durgotsav,Koshe Kosha (Near Bhowanipur Sarbojanin Durgotsav),Koshe Kosha,Authentic Bengali,670,0.67,700,Kosha Mangsho with Luchi,22.522957,88.346256
79,Bhowanipur Sarbojanin Durgotsav,Roastery Coffee House (Near Bhowanipur Sarbojanin Durgotsav),Roastery Coffee House,Cafe & Continental,670,0.67,800,Cranberry Cold Brew & Mac and Cheese,22.522971,88.346532
80,Bhowanipur Students Club Sarbojanin Durga Puja,Bar-B-Q (Near Bhowanipur Students Club Sarbojanin Durga Puja),Bar-B-Q,Classic Chinese,920,0.92,1200,Peking Duck & Crispy Chilli Pork,22.525822,88.337882
80,Bhowanipur Students Club Sarbojanin Durga Puja,Bhojohori Manna (Near Bhowanipur Students Club Sarbojanin Durga Puja),Bhojohori Manna,Traditional Bengali,650,0.65,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.5342,88.346815
80,Bhowanipur Students Club Sarbojanin Durga Puja,Arsalan (Near Bhowanipur Students Club Sarbojanin Durga Puja),Arsalan,Mughlai,960,0.96,750,Mutton Special Biryani & Firni,22.53579,88.351195
81,Bhowanipur Swadhin Sangha Durga Puja,Banana Leaf (Near Bhowanipur Swadhin Sangha Durga Puja),Banana Leaf,South Indian,740,0.74,350,Ghee Roast Masala Dosa & Filter Coffee,22.526056,88.338743
81,Bhowanipur Swadhin Sangha Durga Puja,Bijoli Grill (Near Bhowanipur Swadhin Sangha Durga Puja),Bijoli Grill,Bengali Seafood & Snacks,730,0.73,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.534208,88.346502
81,Bhowanipur Swadhin Sangha Durga Puja,The Yellow Turtle (Near Bhowanipur Swadhin Sangha Durga Puja),The Yellow Turtle,Pan-Asian,660,0.66,850,Dim Sums & Hakka Noodles,22.522721,88.349362
82,Bhowanipur Udayan Club Durga Puja,Saptapadi (Near Bhowanipur Udayan Club Durga Puja),Saptapadi,Bengali Fusion,740,0.74,800,Kacha Lonka Mangsho & Pulao Thali,22.519446,88.343634
82,Bhowanipur Udayan Club Durga Puja,The Yellow Turtle (Near Bhowanipur Udayan Club Durga Puja),The Yellow Turtle,Pan-Asian,720,0.72,850,Dim Sums & Hakka Noodles,22.525846,88.338023
83,Chetla Agrani Club Durga Puja,The Yellow Turtle (Near Chetla Agrani Club Durga Puja),The Yellow Turtle,Pan-Asian,660,0.66,850,Dim Sums & Hakka Noodles,22.522962,88.345582
83,Chetla Agrani Club Durga Puja,Koshe Kosha (Near Chetla Agrani Club Durga Puja),Koshe Kosha,Authentic Bengali,850,0.85,700,Kosha Mangsho with Luchi,22.519157,88.346787
83,Chetla Agrani Club Durga Puja,Arsalan (Near Chetla Agrani Club Durga Puja),Arsalan,Mughlai,860,0.86,750,Mutton Special Biryani & Firni,22.529644,88.336671
84,Chetla Sarbasadharaner Durgotsab,Campari (Near Chetla Sarbasadharaner Durgotsab),Campari,Snack & Cutlet Joint,860,0.86,250,Fish Fry with Kasundi & Mutton Roll,22.520223,88.347882
84,Chetla Sarbasadharaner Durgotsab,Chowman (Near Chetla Sarbasadharaner Durgotsab),Chowman,Chinese,790,0.79,700,Kolkata Style Chilli Chicken & Fried Rice,22.52197,88.331967
85,Dakshin Kolkata Sarbojanin Durgotsab,Oudh 1590 (Near Dakshin Kolkata Sarbojanin Durgotsab),Oudh 1590,Awadhi Dining,620,0.62,1000,Raan Biryani & Galawati Kebab,22.520417,88.354469
85,Dakshin Kolkata Sarbojanin Durgotsab,Campari (Near Dakshin Kolkata Sarbojanin Durgotsab),Campari,Snack & Cutlet Joint,530,0.53,250,Fish Fry with Kasundi & Mutton Roll,22.513329,88.347926
85,Dakshin Kolkata Sarbojanin Durgotsab,Arsalan (Near Dakshin Kolkata Sarbojanin Durgotsab),Arsalan,Mughlai,650,0.65,750,Mutton Special Biryani & Firni,22.523814,88.348007
86,Deshapriya Park Durga Puja,Arsalan (Near Deshapriya Park Durga Puja),Arsalan,Mughlai,920,0.92,750,Mutton Special Biryani & Firni,22.510688,88.350597
86,Deshapriya Park Durga Puja,Banana Leaf (Near Deshapriya Park Durga Puja),Banana Leaf,South Indian,740,0.74,350,Ghee Roast Masala Dosa & Filter Coffee,22.511893,88.357241
86,Deshapriya Park Durga Puja,Kasturi Restaurant (Near Deshapriya Park Durga Puja),Kasturi Restaurant,Dhakai Bangladeshi Bengali,600,0.6,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.523269,88.356463
87,Dhakuria Pragati Sangha Durga Puja,Oudh 1590 (Near Dhakuria Pragati Sangha Durga Puja),Oudh 1590,Awadhi Dining,750,0.75,1000,Raan Biryani & Galawati Kebab,22.500008,88.36463
87,Dhakuria Pragati Sangha Durga Puja,Balaram Mullick & Radharaman Mullick (Near Dhakuria Pragati Sangha Durga Puja),Balaram Mullick & Radharaman Mullick,Iconic Mishti,840,0.84,250,Baked Rosogolla & Mango Sandesh,22.51041,88.374683
87,Dhakuria Pragati Sangha Durga Puja,Campari (Near Dhakuria Pragati Sangha Durga Puja),Campari,Snack & Cutlet Joint,890,0.89,250,Fish Fry with Kasundi & Mutton Roll,22.513653,88.365304
88,Dhakuria Sarbojanin Durgotsab,Bijoli Grill (Near Dhakuria Sarbojanin Durgotsab),Bijoli Grill,Bengali Seafood & Snacks,780,0.78,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.499236,88.372225
88,Dhakuria Sarbojanin Durgotsab,Oudh 1590 (Near Dhakuria Sarbojanin Durgotsab),Oudh 1590,Awadhi Dining,790,0.79,1000,Raan Biryani & Galawati Kebab,22.500078,88.363209
89,Ekdalia Evergreen Club Durga Puja,Koshe Kosha (Near Ekdalia Evergreen Club Durga Puja),Koshe Kosha,Authentic Bengali,930,0.93,700,Kosha Mangsho with Luchi,22.526916,88.366374
89,Ekdalia Evergreen Club Durga Puja,Chowman (Near Ekdalia Evergreen Club Durga Puja),Chowman,Chinese,660,0.66,700,Kolkata Style Chilli Chicken & Fried Rice,22.514287,88.36251
89,Ekdalia Evergreen Club Durga Puja,Arsalan (Near Ekdalia Evergreen Club Durga Puja),Arsalan,Mughlai,800,0.8,750,Mutton Special Biryani & Firni,22.518162,88.359169
90,Falguni Sangha Durga Puja,Campari (Near Falguni Sangha Durga Puja),Campari,Snack & Cutlet Joint,820,0.82,250,Fish Fry with Kasundi & Mutton Roll,22.520101,88.363676
90,Falguni Sangha Durga Puja,Bar-B-Q (Near Falguni Sangha Durga Puja),Bar-B-Q,Classic Chinese,600,0.6,1200,Peking Duck & Crispy Chilli Pork,22.520846,88.359674
91,Garfa Sarbojanin Durgotsav,Ganguram Sweets (Near Garfa Sarbojanin Durgotsav),Ganguram Sweets,Sweet Corner,840,0.84,180,Mishti Doi & Kesar Radhaballavi,22.493551,88.376558
91,Garfa Sarbojanin Durgotsav,Koshe Kosha (Near Garfa Sarbojanin Durgotsav),Koshe Kosha,Authentic Bengali,540,0.54,700,Kosha Mangsho with Luchi,22.499854,88.380124
92,Golpark Sarbojanin Durgotsab Committee,Koshe Kosha (Near Golpark Sarbojanin Durgotsab Committee),Koshe Kosha,Authentic Bengali,630,0.63,700,Kosha Mangsho with Luchi,22.513492,88.369124
92,Golpark Sarbojanin Durgotsab Committee,Balaram Mullick & Radharaman Mullick (Near Golpark Sarbojanin Durgotsab Committee),Balaram Mullick & Radharaman Mullick,Iconic Mishti,880,0.88,250,Baked Rosogolla & Mango Sandesh,22.507287,88.358447
92,Golpark Sarbojanin Durgotsab Committee,Bhojohori Manna (Near Golpark Sarbojanin Durgotsab Committee),Bhojohori Manna,Traditional Bengali,890,0.89,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.516604,88.371217
93,Gopal Nagar Kalyan Sangha Durga Puja,Bijoli Grill (Near Gopal Nagar Kalyan Sangha Durga Puja),Bijoli Grill,Bengali Seafood & Snacks,940,0.94,500,Bhetki Fish Batter Fry & Prawn Cutlet,22.526949,88.325921
93,Gopal Nagar Kalyan Sangha Durga Puja,Arsalan (Near Gopal Nagar Kalyan Sangha Durga Puja),Arsalan,Mughlai,550,0.55,750,Mutton Special Biryani & Firni,22.525519,88.338643
94,Harish Park Sarbojanin Durgotsab Samity,Saptapadi (Near Harish Park Sarbojanin Durgotsab Samity),Saptapadi,Bengali Fusion,740,0.74,800,Kacha Lonka Mangsho & Pulao Thali,22.528781,88.355808
94,Harish Park Sarbojanin Durgotsab Samity,Koshe Kosha (Near Harish Park Sarbojanin Durgotsab Samity),Koshe Kosha,Authentic Bengali,710,0.71,700,Kosha Mangsho with Luchi,22.530117,88.355861
94,Harish Park Sarbojanin Durgotsab Samity,Kasturi Restaurant (Near Harish Park Sarbojanin Durgotsab Samity),Kasturi Restaurant,Dhakai Bangladeshi Bengali,770,0.77,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.524574,88.351877
95,Hindustan Pally Durga Puja Committee,Ganguram Sweets (Near Hindustan Pally Durga Puja Committee),Ganguram Sweets,Sweet Corner,800,0.8,180,Mishti Doi & Kesar Radhaballavi,22.524152,88.362282
95,Hindustan Pally Durga Puja Committee,Bhojohori Manna (Near Hindustan Pally Durga Puja Committee),Bhojohori Manna,Traditional Bengali,630,0.63,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.514403,88.355577
96,Jubamaitry Kalighat Durga Puja,Bar-B-Q (Near Jubamaitry Kalighat Durga Puja),Bar-B-Q,Classic Chinese,870,0.87,1200,Peking Duck & Crispy Chilli Pork,22.524776,88.352777
96,Jubamaitry Kalighat Durga Puja,Kasturi Restaurant (Near Jubamaitry Kalighat Durga Puja),Kasturi Restaurant,Dhakai Bangladeshi Bengali,760,0.76,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.514787,88.347858
97,Kalighat Nepal Bhattacharjee Street Club,Bedwin (Near Kalighat Nepal Bhattacharjee Street Club),Bedwin,Fast Food Roll Corner,890,0.89,200,Kathi Chicken Egg Roll,22.528431,88.34554
97,Kalighat Nepal Bhattacharjee Street Club,Ganguram Sweets (Near Kalighat Nepal Bhattacharjee Street Club),Ganguram Sweets,Sweet Corner,740,0.74,180,Mishti Doi & Kesar Radhaballavi,22.514921,88.351131
97,Kalighat Nepal Bhattacharjee Street Club,Bhojohori Manna (Near Kalighat Nepal Bhattacharjee Street Club),Bhojohori Manna,Traditional Bengali,670,0.67,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.525331,88.351192
98,Kasba R.K. Chatterjee Road Adhibasi Brinda Durga Puja,Bhojohori Manna (Near Kasba R.K. Chatterjee Road Adhibasi Brinda Durga Puja),Bhojohori Manna,Traditional Bengali,840,0.84,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.511205,88.391957
98,Kasba R.K. Chatterjee Road Adhibasi Brinda Durga Puja,Ganguram Sweets (Near Kasba R.K. Chatterjee Road Adhibasi Brinda Durga Puja),Ganguram Sweets,Sweet Corner,950,0.95,180,Mishti Doi & Kesar Radhaballavi,22.516353,88.375512
99,Kasba Renaissance Club,Koshe Kosha (Near Kasba Renaissance Club),Koshe Kosha,Authentic Bengali,660,0.66,700,Kosha Mangsho with Luchi,22.509682,88.390162
99,Kasba Renaissance Club,Balaram Mullick & Radharaman Mullick (Near Kasba Renaissance Club),Balaram Mullick & Radharaman Mullick,Iconic Mishti,970,0.97,250,Baked Rosogolla & Mango Sandesh,22.505104,88.389754
100,Kasba Shakti Sangha Pallybasi Durgotsav Samity,Koshe Kosha (Near Kasba Shakti Sangha Pallybasi Durgotsav Samity),Koshe Kosha,Authentic Bengali,540,0.54,700,Kosha Mangsho with Luchi,22.506794,88.383127
100,Kasba Shakti Sangha Pallybasi Durgotsav Samity,Ganguram Sweets (Near Kasba Shakti Sangha Pallybasi Durgotsav Samity),Ganguram Sweets,Sweet Corner,810,0.81,180,Mishti Doi & Kesar Radhaballavi,22.50432,88.383809
101,Ketopole Sammilani Durga Puja,Kasturi Restaurant (Near Ketopole Sammilani Durga Puja),Kasturi Restaurant,Dhakai Bangladeshi Bengali,770,0.77,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.514269,88.334736
101,Ketopole Sammilani Durga Puja,Campari (Near Ketopole Sammilani Durga Puja),Campari,Snack & Cutlet Joint,720,0.72,250,Fish Fry with Kasundi & Mutton Roll,22.505932,88.331389
101,Ketopole Sammilani Durga Puja,Arsalan (Near Ketopole Sammilani Durga Puja),Arsalan,Mughlai,580,0.58,750,Mutton Special Biryani & Firni,22.513183,88.337076
102,Keyatala Pally Samity Durga Puja,Bedwin (Near Keyatala Pally Samity Durga Puja),Bedwin,Fast Food Roll Corner,770,0.77,200,Kathi Chicken Egg Roll,22.50642,88.357609
102,Keyatala Pally Samity Durga Puja,Saptapadi (Near Keyatala Pally Samity Durga Puja),Saptapadi,Bengali Fusion,560,0.56,800,Kacha Lonka Mangsho & Pulao Thali,22.51807,88.359758
